date,sales,stock,price,date,total_revenue
01/01/2014,0,4972,1.29,01/01/2014,0
02/01/2014,70,4902,1.29,02/01/2014,90.3
03/01/2014,59,4843,1.29,03/01/2014,76.11
04/01/2014,93,4750,1.29,04/01/2014,119.97
05/01/2014,96,4654,1.29,05/01/2014,123.84
06/01/2014,145,4509,1.29,06/01/2014,187.05
07/01/2014,179,4329,1.29,07/01/2014,230.91
08/01/2014,321,4104,1.29,08/01/2014,414.09
09/01/2014,125,4459,1.09,09/01/2014,136.25
10/01/2014,88,5043,1.09,10/01/2014,95.92
11/01/2014,188,5239,1.09,11/01/2014,204.92
12/01/2014,121,5118,1.09,12/01/2014,131.89
13/01/2014,134,4984,1.09,13/01/2014,146.06
14/01/2014,80,4904,1.09,14/01/2014,87.2
15/01/2014,82,4822,1.09,15/01/2014,89.38
16/01/2014,94,4728,1.19,16/01/2014,111.86
18/01/2014,159,4464,1.19,18/01/2014,189.21
19/01/2014,199,4265,1.19,19/01/2014,236.81
20/01/2014,104,4161,1.19,20/01/2014,123.76
21/01/2014,70,4091,1.19,21/01/2014,83.3
22/01/2014,127,3964,1.09,22/01/2014,138.43
23/01/2014,96,3868,1.09,23/01/2014,104.64
24/01/2014,75,3793,1.09,24/01/2014,81.75
25/01/2014,198,3595,1.09,25/01/2014,215.82
26/01/2014,168,3427,1.09,26/01/2014,183.12
27/01/2014,125,3302,1.09,27/01/2014,136.25
28/01/2014,86,3216,1.09,28/01/2014,93.74
29/01/2014,222,2994,0.99,29/01/2014,219.78
30/01/2014,272,2723,0.99,30/01/2014,269.28
31/01/2014,209,2514,0.99,31/01/2014,206.91
01/02/2014,369,2145,0.99,01/02/2014,365.31
02/02/2014,217,1928,0.99,02/02/2014,214.83
03/02/2014,97,1831,0.99,03/02/2014,96.03
04/02/2014,117,1714,0.99,04/02/2014,115.83
05/02/2014,100,1998,1.29,05/02/2014,129
06/02/2014,64,2126,1.29,06/02/2014,82.56
07/02/2014,35,2091,1.29,07/02/2014,45.15
08/02/2014,54,2037,1.29,08/02/2014,69.66
09/02/2014,55,1982,1.29,09/02/2014,70.95
12/02/2014,8,7228,1.29,12/02/2014,10.32
13/02/2014,43,7185,1.09,13/02/2014,46.87
14/02/2014,107,7078,1.09,14/02/2014,116.63
15/02/2014,116,6962,1.09,15/02/2014,126.44
16/02/2014,87,6875,1.09,16/02/2014,94.83
17/02/2014,66,6809,1.09,17/02/2014,71.94
18/02/2014,44,6765,1.09,18/02/2014,47.96
19/02/2014,33,6731,1.09,19/02/2014,35.97
20/02/2014,13,6718,1.09,20/02/2014,14.17
21/02/2014,53,6665,1.09,21/02/2014,57.77
22/02/2014,72,6593,1.09,22/02/2014,78.48
23/02/2014,50,6543,1.09,23/02/2014,54.5
